scorer,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000
bodyparts,head,head,head,AFD Soma,AFD Soma,AFD Soma,neck,neck,neck,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,vulva,vulva,vulva,bodypart6,bodypart6,bodypart6,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,383.67767333984375,239.56089782714844,0.9999999403953552,368.2154235839844,251.7261505126953,0.9999990463256836,366.179443359375,280.7564697265625,0.9999996423721313,373.3856506347656,304.3548889160156,0.9999999403953552,385.74017333984375,327.3721618652344,0.9999998807907104,395.8084411621094,351.1356506347656,0.9999951124191284,396.7240905761719,373.9397277832031,0.9999998807907104,393.8687438964844,394.9139709472656,0.9999998211860657
1,388.41326904296875,246.86512756347656,0.9999999403953552,370.1493835449219,253.1243896484375,0.9999985098838806,363.10009765625,280.38800048828125,0.9999984502792358,369.355712890625,304.2141418457031,0.9999995231628418,381.6451110839844,326.2545471191406,0.9999991655349731,396.0549621582031,347.34710693359375,0.999995231628418,396.49346923828125,369.8099670410156,0.9999992847442627,395.835693359375,391.33331298828125,0.9999997615814209
2,389.6942443847656,252.33279418945312,0.9999998807907104,369.4817199707031,256.3101806640625,0.9999998807907104,358.98272705078125,280.310302734375,0.9999997615814209,363.6581115722656,304.5865478515625,0.9999990463256836,377.0158386230469,325.72869873046875,0.9999992251396179,390.7056884765625,343.968505859375,0.9999996423721313,395.6790771484375,367.4724426269531,0.9999985694885254,395.92156982421875,387.8623352050781,0.9999998807907104
3,392.880859375,256.749267578125,0.9999998807907104,371.35137939453125,257.4637451171875,1.0,356.80206298828125,279.5038757324219,1.0,358.6737060546875,303.0792541503906,1.0,369.0503845214844,323.58648681640625,1.0,384.29998779296875,342.06884765625,0.9999995231628418,392.2958068847656,362.5879821777344,0.9999995231628418,396.17413330078125,385.1138916015625,0.9999998807907104
4,395.80682373046875,261.322021484375,0.9999998807907104,374.3268737792969,260.7057189941406,1.0,356.2638854980469,278.0033874511719,1.0,354.48431396484375,299.3531494140625,1.0,363.3765563964844,323.1595153808594,1.0,377.3725891113281,340.3500061035156,0.9999998807907104,389.73944091796875,358.6249084472656,0.9999999403953552,397.76251220703125,380.9398193359375,0.9999996423721313
5,398.27435302734375,255.91336059570312,0.9999999403953552,377.0080871582031,261.70184326171875,0.9999997615814209,358.8902893066406,277.64105224609375,1.0,352.4712219238281,297.8371887207031,0.9999999403953552,358.1259460449219,322.6328125,1.0,372.2194519042969,340.947998046875,1.0,385.6885070800781,357.0993957519531,0.9999998807907104,395.70391845703125,377.32257080078125,0.9999992847442627
6,396.9543151855469,241.69442749023438,1.0,382.51116943359375,261.580078125,0.9999997615814209,365.0494384765625,276.1311340332031,0.9999999403953552,353.2581787109375,297.24652099609375,0.9999997615814209,355.4332580566406,322.9553527832031,1.0,367.522216796875,341.9449768066406,0.9999998807907104,382.5990295410156,359.78106689453125,0.9999997019767761,393.28045654296875,378.8017272949219,0.9999990463256836
7,389.1773986816406,226.39227294921875,1.0,385.6805114746094,246.50411987304688,1.0,376.0202331542969,265.9708557128906,0.9999988079071045,360.9222717285156,293.6709289550781,1.0,358.2555236816406,321.3609924316406,1.0,365.94097900390625,343.0380554199219,0.9999999403953552,379.2944030761719,361.4325256347656,0.9999996423721313,391.9418640136719,381.0999755859375,0.9999998211860657
8,380.5702209472656,220.74319458007812,1.0,381.7181701660156,239.48350524902344,0.9999998807907104,377.4504699707031,262.61651611328125,0.9999992847442627,364.7332763671875,290.1341552734375,0.9999999403953552,360.6330261230469,320.6333923339844,0.9999995827674866,365.76239013671875,343.6171875,0.9999995231628418,376.16754150390625,360.992919921875,0.9999994039535522,388.301513671875,380.7854919433594,0.9999998807907104
9,371.46417236328125,216.2140350341797,1.0,377.9692687988281,233.6938018798828,0.9999973177909851,377.5101623535156,259.2436828613281,0.9999996423721313,370.9197692871094,288.0679931640625,0.9999997615814209,363.0746154785156,314.264892578125,0.9999992847442627,364.4607238769531,340.2114562988281,0.9999994039535522,373.3108825683594,360.2923278808594,0.9999998807907104,384.10760498046875,380.718994140625,0.9999999403953552
10,362.61041259765625,215.6185302734375,1.0,373.1294860839844,233.47207641601562,0.9999995827674866,378.9097900390625,259.1932678222656,0.9999969005584717,375.4080505371094,287.60400390625,0.9999963641166687,367.2584533691406,313.1548156738281,0.9999973773956299,365.4858093261719,340.8667907714844,0.9999982118606567,371.39874267578125,359.9843444824219,0.9999996423721313,382.020751953125,381.4273986816406,0.9999997019767761
11,353.5201721191406,219.08253479003906,0.9999998807907104,368.00469970703125,232.29331970214844,0.9999990463256836,379.29876708984375,255.4293212890625,0.9999992251396179,376.8218994140625,289.3184814453125,0.9999982714653015,370.0728759765625,313.41253662109375,0.9999974370002747,366.7974548339844,338.365478515625,0.9999992251396179,369.40557861328125,359.3771667480469,0.9999991059303284,377.7391052246094,382.92242431640625,0.9999997615814209
12,346.5163879394531,223.3362274169922,1.0,363.6789855957031,236.63137817382812,0.9999999403953552,376.5765075683594,251.8250732421875,0.9999998807907104,379.6619567871094,284.4869079589844,0.9999994039535522,375.5292053222656,311.7806091308594,0.9999988079071045,370.6150207519531,335.1243896484375,0.9999996423721313,369.0427551269531,355.9347229003906,0.9999996423721313,374.8721923828125,384.6053466796875,0.9999984502792358
13,342.7532958984375,228.6321258544922,1.0,357.4034729003906,240.1129608154297,0.9999998807907104,375.1290283203125,252.60850524902344,0.9999998807907104,382.1116027832031,282.3546142578125,0.9999982118606567,381.3829650878906,312.33038330078125,0.9999997615814209,374.884765625,333.46527099609375,0.9999998211860657,370.0435485839844,355.3895568847656,0.9999999403953552,369.0267333984375,382.06549072265625,0.9999997615814209
14,339.2633056640625,232.52186584472656,1.0,355.1004638671875,244.9280548095703,0.9999998807907104,374.14544677734375,255.42469787597656,0.9999998807907104,385.1843566894531,282.326904296875,0.9999972581863403,385.0715637207031,312.4248962402344,0.9999997019767761,378.07427978515625,334.64312744140625,0.9999992847442627,369.7548828125,355.01617431640625,0.9999999403953552,365.4606018066406,382.71905517578125,0.9999998807907104
15,338.9759521484375,231.43138122558594,0.9999999403953552,351.0295715332031,247.29249572753906,0.9999986886978149,370.27276611328125,257.1681213378906,0.9999997615814209,386.47723388671875,280.55804443359375,0.9999948740005493,387.8084716796875,313.5909118652344,0.9999998807907104,380.2252502441406,336.1507873535156,0.9999992847442627,370.38568115234375,355.2205810546875,0.9999998807907104,362.2144470214844,382.8443603515625,0.9999997019767761
16,341.5818786621094,227.2060089111328,0.9999999403953552,349.258056640625,245.7088165283203,0.9999998807907104,367.2090148925781,259.8636779785156,0.9999995231628418,384.20208740234375,279.93060302734375,0.9999768733978271,389.28802490234375,312.1559753417969,0.9999997615814209,383.8484191894531,338.08251953125,0.9999996423721313,372.8800354003906,355.21038818359375,0.9999999403953552,361.5750427246094,381.03985595703125,0.9999998807907104
17,348.4049072265625,219.81642150878906,0.9999998211860657,350.4669494628906,240.417724609375,0.9999993443489075,366.8408203125,260.7376403808594,0.9999996423721313,383.141357421875,283.6549987792969,0.9998955726623535,388.94561767578125,314.5874938964844,0.9999990463256836,385.3311462402344,340.3782043457031,0.9999998807907104,375.12152099609375,359.9977722167969,0.9999992847442627,364.50677490234375,382.4989929199219,1.0
18,359.9005126953125,215.2493133544922,1.0,356.03216552734375,234.2091827392578,0.9999999403953552,364.3646545410156,258.7005310058594,0.9999988675117493,377.6592712402344,284.8506164550781,0.9999816417694092,386.9999694824219,313.9386291503906,0.9999964237213135,386.6228332519531,339.81292724609375,0.9999998807907104,377.94012451171875,360.5415954589844,0.9999986886978149,367.7188415527344,384.2889099121094,0.9999999403953552
19,368.4615173339844,214.1576690673828,1.0,359.7578430175781,233.13153076171875,0.9999998807907104,362.1117858886719,258.0372619628906,0.9999995231628418,371.0455322265625,287.782470703125,0.9999977350234985,382.8525085449219,312.3462219238281,0.9999935626983643,386.9502258300781,336.99432373046875,0.9999987483024597,382.1167907714844,359.4111328125,0.9999907612800598,376.3166198730469,381.8785095214844,0.9999998807907104
