scorer,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000
bodyparts,head,head,head,AFD Soma,AFD Soma,AFD Soma,neck,neck,neck,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,vulva,vulva,vulva,bodypart6,bodypart6,bodypart6,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,340.462646484375,228.70445251464844,1.0,327.2750549316406,242.671142578125,1.0,306.79583740234375,247.04803466796875,0.9999998807907104,286.52734375,251.36000061035156,0.9999999403953552,276.6607360839844,265.7588195800781,1.0,277.0652160644531,281.5748596191406,0.9999997615814209,286.1049499511719,293.4964904785156,0.9999983906745911,297.7962951660156,306.52398681640625,0.9999998807907104
1,339.24267578125,225.65835571289062,1.0,328.8697814941406,240.27635192871094,0.9999999403953552,313.8831481933594,248.78921508789062,0.9999995231628418,290.5241394042969,252.07257080078125,0.9999998807907104,278.37933349609375,264.1370849609375,0.9999998211860657,275.2264404296875,281.5894775390625,0.9999999403953552,282.7865905761719,294.7495422363281,0.9999994039535522,293.8023376464844,310.63922119140625,0.9999999403953552
2,338.0997009277344,220.9688262939453,1.0,331.3887634277344,236.3201904296875,0.9999999403953552,316.902587890625,247.3298797607422,0.9999998807907104,295.40753173828125,251.578369140625,0.9999998211860657,280.7871398925781,261.9673767089844,0.9999997615814209,275.1804504394531,277.59063720703125,1.0,278.19659423828125,291.4364318847656,0.9999999403953552,287.3236999511719,308.5807800292969,0.9999998807907104
3,337.5898132324219,221.78466796875,1.0,333.48626708984375,235.53375244140625,0.9999999403953552,320.2151794433594,248.30906677246094,0.9999995231628418,301.4414978027344,253.75428771972656,0.9999998807907104,283.5907287597656,262.7438049316406,1.0,273.5169677734375,277.12957763671875,1.0,274.903564453125,293.47601318359375,0.9999998807907104,281.26348876953125,313.0726013183594,0.9999996423721313
4,338.5035095214844,219.9844207763672,1.0,334.1544189453125,235.39012145996094,0.9999998807907104,322.3878173828125,248.44158935546875,0.9999998807907104,305.1690673828125,256.0047912597656,1.0,286.750244140625,263.634521484375,0.9999998211860657,274.8429260253906,276.387451171875,0.9999999403953552,273.6559143066406,293.0031433105469,0.9999998807907104,276.19915771484375,313.6272888183594,0.9999997615814209
5,339.88958740234375,219.30487060546875,1.0,331.8033142089844,234.00196838378906,1.0,321.5548400878906,247.65359497070312,1.0,305.68719482421875,257.0334777832031,0.9999999403953552,289.021728515625,263.7291564941406,0.9999996423721313,274.846435546875,276.3336181640625,0.9999998807907104,271.85589599609375,292.13848876953125,0.9999998211860657,272.7456359863281,314.2522888183594,0.9999990463256836
6,341.33050537109375,217.90293884277344,1.0,331.0783386230469,232.45375061035156,1.0,321.58056640625,246.51873779296875,1.0,307.59136962890625,256.7110900878906,1.0,291.82586669921875,264.4347839355469,0.999999463558197,276.38848876953125,276.6736145019531,1.0,272.52557373046875,292.9518737792969,0.9999998807907104,270.5257568359375,318.2715148925781,0.9999980926513672
7,342.8481750488281,216.98873901367188,1.0,330.0964660644531,231.4283905029297,1.0,320.4353942871094,246.0711669921875,1.0,308.4273376464844,256.7266540527344,1.0,292.982666015625,266.2868957519531,0.999999463558197,277.3243408203125,278.4855041503906,0.9999999403953552,272.7828369140625,294.7193298339844,0.9999998211860657,269.394287109375,318.8585205078125,0.9999991655349731
8,343.9366760253906,216.09555053710938,1.0,329.3359069824219,230.55030822753906,1.0,318.1434631347656,245.74972534179688,1.0,307.3753662109375,256.70184326171875,1.0,291.5877380371094,267.5290832519531,0.9999997615814209,277.226318359375,280.7835998535156,0.9999997019767761,272.3515930175781,297.6646423339844,0.9999991655349731,266.8666687011719,319.8351135253906,0.9999998807907104
9,345.113037109375,215.96356201171875,1.0,328.75042724609375,228.97994995117188,1.0,318.5584411621094,243.97911071777344,1.0,307.2056579589844,256.4914245605469,1.0,291.2740478515625,268.35968017578125,0.9999998211860657,277.6416931152344,282.88995361328125,0.9999997615814209,271.861328125,299.2348327636719,0.9999994039535522,266.20782470703125,320.4471435546875,0.9999998807907104
10,344.9046325683594,217.73025512695312,0.9999998807907104,328.0412292480469,229.72476196289062,1.0,317.84539794921875,245.07809448242188,1.0,306.7428283691406,257.2677307128906,1.0,291.47271728515625,269.7414245605469,0.9999998807907104,278.13885498046875,284.46466064453125,0.9999997615814209,272.0140075683594,300.0622863769531,0.9999996423721313,265.5975036621094,320.79852294921875,0.9999999403953552
11,345.7821960449219,217.19190979003906,1.0,327.7425231933594,229.02952575683594,1.0,317.244873046875,244.83009338378906,1.0,306.15350341796875,257.30078125,1.0,290.8782958984375,270.1130676269531,0.9999998807907104,278.29644775390625,285.1662292480469,0.9999997615814209,272.1298828125,300.8369140625,0.9999997615814209,264.28778076171875,321.2837829589844,0.9999999403953552
12,346.61370849609375,217.79800415039062,0.9999998807907104,328.4281005859375,228.60353088378906,1.0,317.303466796875,244.1096954345703,1.0,306.5442199707031,257.488525390625,1.0,291.56634521484375,270.3544921875,0.9999999403953552,278.6236572265625,285.76171875,0.9999997019767761,272.16583251953125,301.1795654296875,0.9999997615814209,263.62890625,321.2150573730469,0.9999998807907104
13,347.3416748046875,220.01756286621094,1.0,328.5664367675781,228.34034729003906,1.0,317.4410095214844,243.5395965576172,1.0,307.161865234375,257.4460754394531,1.0,293.0473327636719,271.1617431640625,0.9999998807907104,279.6208801269531,286.1824951171875,0.9999996423721313,272.6360168457031,301.42510986328125,0.9999997019767761,263.9723205566406,321.7557373046875,0.9999998807907104
14,347.0540466308594,222.81494140625,0.9999998807907104,328.1799011230469,227.7178955078125,1.0,316.1928405761719,242.8138885498047,1.0,306.760009765625,256.9289855957031,1.0,292.6394958496094,270.1920166015625,0.9999998807907104,279.7619323730469,285.0644836425781,0.9999995827674866,273.3344421386719,300.498291015625,0.9999997615814209,265.6819152832031,319.88238525390625,0.9999998807907104
15,347.56146240234375,227.66683959960938,1.0,328.72808837890625,228.18666076660156,0.9999998807907104,315.43896484375,242.08277893066406,0.9999999403953552,305.6380615234375,256.9062805175781,0.9999999403953552,292.76678466796875,269.9434814453125,0.9999999403953552,281.0242919921875,285.0396423339844,0.9999991655349731,274.5022277832031,300.32733154296875,0.9999997615814209,267.0490417480469,321.12213134765625,0.9999998807907104
16,347.296142578125,237.63479614257812,1.0,330.8105773925781,229.78758239746094,0.9999995231628418,315.8160400390625,240.68331909179688,1.0,304.83514404296875,256.25262451171875,0.9999999403953552,292.5244445800781,268.94378662109375,0.9999998807907104,280.7527770996094,284.4808654785156,0.999999463558197,275.88995361328125,299.34112548828125,0.9999995827674866,271.3550109863281,321.1659851074219,0.9999997615814209
17,345.7457580566406,244.69183349609375,1.0,335.2525939941406,231.69606018066406,0.9999996423721313,316.8966369628906,236.4508819580078,0.999999463558197,303.5973815917969,251.36509704589844,1.0,292.84716796875,264.6698303222656,0.9999998807907104,282.56304931640625,279.9224853515625,0.9999998211860657,277.9811706542969,294.5584411621094,0.9999997615814209,275.11602783203125,316.41162109375,0.9999995231628418
18,344.2652587890625,250.0108642578125,1.0,336.009033203125,234.30465698242188,0.9999995231628418,317.8908996582031,234.55018615722656,0.9999995231628418,303.3402404785156,249.58694458007812,0.9999998807907104,292.0041198730469,263.4317626953125,1.0,283.1603088378906,278.17559814453125,0.9999998807907104,278.4449768066406,292.37872314453125,0.9999998211860657,277.6828308105469,314.2680358886719,0.999998927116394
19,343.3260192871094,254.8912811279297,1.0,334.7396545410156,237.61085510253906,0.9999996423721313,317.6532897949219,234.4549560546875,0.9999995231628418,302.095947265625,248.95689392089844,1.0,291.1371765136719,262.97637939453125,1.0,282.74957275390625,279.0752258300781,0.9999998807907104,279.9033203125,293.4771728515625,0.9999997615814209,281.1662902832031,315.32489013671875,0.9999982118606567
20,341.0566101074219,258.20880126953125,1.0,333.5996398925781,240.19020080566406,0.9999995231628418,317.53662109375,233.29237365722656,0.9999992847442627,299.73101806640625,246.18666076660156,0.9999999403953552,289.7627258300781,260.3562927246094,1.0,282.5228576660156,277.408935546875,0.9999998807907104,281.2474670410156,292.4240417480469,0.9999996423721313,283.6272277832031,312.9754943847656,0.9999982118606567
21,339.19415283203125,263.1491394042969,1.0,332.06689453125,246.02403259277344,0.9999998807907104,316.77899169921875,234.61602783203125,0.9999995231628418,297.8342590332031,244.4818572998047,1.0,290.0947570800781,257.6711120605469,1.0,283.8779296875,276.43487548828125,0.9999998807907104,284.7274169921875,292.6849670410156,0.9999997615814209,288.8951416015625,311.4905090332031,0.9999998211860657
