scorer,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000,DLC_resnet50_joshTrainDataOct2shuffle1_550000
bodyparts,head,head,head,AFD Soma,AFD Soma,AFD Soma,neck,neck,neck,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,vulva,vulva,vulva,bodypart6,bodypart6,bodypart6,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,415.8456115722656,169.44215393066406,0.9999998807907104,400.4933166503906,179.80203247070312,1.0,396.3005065917969,198.01205444335938,1.0,397.0766296386719,216.8821258544922,0.9999999403953552,393.86846923828125,235.61215209960938,0.9999995827674866,379.97552490234375,257.40240478515625,0.9999997615814209,362.47332763671875,267.45147705078125,0.9999999403953552,340.9443359375,263.92620849609375,0.9999996423721313
1,419.08258056640625,172.0370635986328,1.0,401.8921813964844,181.26515197753906,1.0,396.7110290527344,198.90203857421875,0.9999998807907104,396.3976745605469,219.39369201660156,0.9999998807907104,390.110595703125,237.79824829101562,0.9999997615814209,377.87054443359375,259.59405517578125,0.9999998211860657,360.28009033203125,270.24371337890625,0.9999997019767761,342.1592712402344,271.2122802734375,0.9999998807907104
2,419.5450439453125,172.09552001953125,0.9999998807907104,402.6202087402344,181.59902954101562,1.0,396.320556640625,199.44935607910156,0.9999998807907104,395.72528076171875,220.37071228027344,0.9999998807907104,389.3327941894531,237.92518615722656,0.9999998807907104,377.4424133300781,259.763916015625,0.9999998807907104,359.4510803222656,271.49139404296875,0.9999997019767761,340.3205871582031,273.0242919921875,0.9999998807907104
3,420.5649719238281,171.5945281982422,0.9999998807907104,402.6780700683594,181.3302764892578,1.0,396.3963623046875,199.74488830566406,0.9999998807907104,395.6460876464844,220.79605102539062,0.9999998807907104,388.61865234375,238.66639709472656,0.9999998807907104,376.4871826171875,259.2725524902344,1.0,359.8695983886719,271.1130676269531,0.9999997615814209,342.69891357421875,275.24432373046875,1.0
4,421.2068786621094,172.46827697753906,0.9999998807907104,403.3354797363281,182.22569274902344,1.0,396.4759521484375,200.2297821044922,0.9999998807907104,395.4953918457031,220.60960388183594,0.9999998807907104,387.8188171386719,238.24681091308594,0.9999998807907104,375.676025390625,259.3819580078125,1.0,359.1117248535156,271.8197326660156,0.9999998807907104,341.9994812011719,278.24383544921875,0.9999999403953552
5,421.41375732421875,172.53463745117188,0.9999999403953552,404.16729736328125,182.5847930908203,1.0,396.8908386230469,200.25233459472656,0.9999998807907104,395.56854248046875,220.9576416015625,0.9999998211860657,388.09234619140625,239.10659790039062,0.9999998807907104,375.4754333496094,259.7944641113281,0.9999998807907104,360.12042236328125,272.6959533691406,0.9999997615814209,342.6620788574219,279.2488708496094,0.9999998807907104
6,421.4018249511719,172.62173461914062,0.9999998807907104,404.2591247558594,182.97036743164062,1.0,397.08526611328125,200.3772430419922,0.9999998807907104,395.3892517089844,221.01539611816406,0.9999998807907104,387.7004699707031,238.1943817138672,0.9999999403953552,375.8388366699219,259.096435546875,0.9999999403953552,359.491943359375,272.2605895996094,0.9999996423721313,343.2842712402344,279.31219482421875,0.9999998807907104
7,420.1820068359375,172.16525268554688,0.9999999403953552,403.5187683105469,184.11610412597656,1.0,396.5499267578125,201.27838134765625,0.9999998807907104,394.4039306640625,221.77102661132812,1.0,386.77899169921875,239.00738525390625,1.0,375.3128967285156,259.39227294921875,0.9999998211860657,359.211181640625,272.0191650390625,0.9999997019767761,344.0093078613281,278.3204345703125,0.9999997615814209
8,422.5170593261719,170.8060302734375,0.9999999403953552,406.1311340332031,183.52720642089844,1.0,396.539794921875,200.11541748046875,0.9999999403953552,393.5473327636719,221.24612426757812,0.9999999403953552,386.5657958984375,239.59890747070312,1.0,375.2286682128906,259.9997253417969,0.9999998807907104,360.6044921875,272.88720703125,0.9999997019767761,342.7620544433594,279.8204650878906,0.9999998211860657
9,423.0122375488281,169.14190673828125,1.0,407.97509765625,183.02992248535156,1.0,396.6824645996094,199.31541442871094,0.9999999403953552,393.72674560546875,220.18600463867188,0.9999998807907104,387.24810791015625,238.41807556152344,0.9999999403953552,376.4605712890625,259.2007141113281,0.9999998807907104,359.952880859375,272.4252624511719,0.9999997019767761,343.2007751464844,279.21295166015625,0.9999998807907104
10,423.61822509765625,168.81114196777344,1.0,407.8536071777344,183.72877502441406,0.9999999403953552,396.7768249511719,200.79234313964844,0.9999997019767761,393.3694152832031,221.0233917236328,0.9999998807907104,385.9776306152344,238.12989807128906,0.9999997615814209,376.7660217285156,257.3642883300781,0.9999996423721313,361.34356689453125,270.93231201171875,0.9999997019767761,344.11859130859375,280.0971984863281,0.9999994039535522
11,423.3067626953125,168.7823486328125,0.9999998807907104,407.8348388671875,184.20814514160156,0.9999998807907104,396.81341552734375,201.0582733154297,0.9999997615814209,392.5270690917969,221.44406127929688,1.0,385.8330993652344,238.08990478515625,1.0,376.614990234375,257.403564453125,0.9999997019767761,361.86334228515625,271.2044982910156,0.9999996423721313,344.19073486328125,281.0997314453125,0.9999988079071045
12,424.52191162109375,168.18943786621094,0.9999998807907104,409.06451416015625,183.1896514892578,0.9999998807907104,397.09814453125,199.364501953125,0.9999999403953552,392.7757873535156,219.7166290283203,0.9999999403953552,385.6844177246094,236.7158660888672,0.9999998807907104,376.68304443359375,256.57696533203125,0.9999993443489075,362.5473327636719,270.1059265136719,0.9999998211860657,345.66033935546875,279.4082336425781,0.9999998807907104
13,422.71026611328125,168.7252960205078,1.0,407.612548828125,185.4541778564453,0.9999998211860657,395.207763671875,201.51136779785156,0.9999997615814209,391.14337158203125,220.99588012695312,0.9999998807907104,384.3431701660156,237.4358673095703,1.0,377.0624084472656,256.27923583984375,0.9999995231628418,362.2598876953125,270.3343505859375,0.9999997615814209,344.2597351074219,279.3475036621094,0.9999997615814209
14,422.401123046875,167.77500915527344,1.0,411.06024169921875,184.5526580810547,0.9999999403953552,399.6277160644531,199.09275817871094,0.9999998807907104,392.2865905761719,219.18067932128906,1.0,385.72283935546875,236.7279815673828,1.0,376.69464111328125,257.387451171875,0.9999997615814209,362.0297546386719,270.9393615722656,0.9999997615814209,343.49957275390625,279.256591796875,0.9999998807907104
15,421.60009765625,164.5460205078125,1.0,415.0184020996094,181.36334228515625,1.0,403.1488037109375,196.23252868652344,1.0,392.85980224609375,216.29367065429688,0.9999998211860657,387.06890869140625,234.98387145996094,1.0,378.2413330078125,256.1059265136719,0.9999997615814209,362.83892822265625,269.9921569824219,0.9999999403953552,343.3256530761719,277.14239501953125,0.9999998807907104
16,420.1142272949219,163.2134552001953,1.0,414.5513916015625,181.035888671875,1.0,403.6064453125,196.8341522216797,1.0,392.3719787597656,215.75704956054688,0.9999998807907104,386.16119384765625,235.11090087890625,0.9999998807907104,377.4651794433594,256.69384765625,0.9999997615814209,362.0769348144531,270.77227783203125,0.9999997615814209,342.4892883300781,277.8982849121094,0.9999998807907104
17,418.5043029785156,161.56304931640625,1.0,415.14593505859375,180.36045837402344,1.0,404.4346923828125,196.64166259765625,1.0,392.18072509765625,215.8177947998047,0.9999999403953552,386.8534851074219,235.52523803710938,1.0,377.7998046875,257.6094970703125,0.9999998807907104,361.4450378417969,271.2901611328125,0.9999998807907104,342.892333984375,277.0581359863281,1.0
18,417.19573974609375,161.60316467285156,1.0,414.54510498046875,180.9727783203125,1.0,404.4956970214844,197.3988037109375,1.0,392.5986022949219,215.57191467285156,0.9999999403953552,386.5926513671875,235.42221069335938,1.0,378.035888671875,257.1888732910156,0.9999998807907104,361.3232116699219,270.95867919921875,0.9999998807907104,342.54052734375,276.321044921875,1.0
19,414.9285583496094,162.9724578857422,1.0,413.62322998046875,181.46444702148438,1.0,404.3734130859375,198.5878143310547,1.0,392.5600280761719,216.21376037597656,0.9999998807907104,386.074951171875,235.73101806640625,1.0,377.8629455566406,256.9825744628906,0.9999998807907104,361.6491394042969,270.5604248046875,0.9999998807907104,344.303955078125,275.281982421875,0.9999998807907104
20,413.9547119140625,164.8973846435547,1.0,414.3058166503906,182.83740234375,1.0,404.7010803222656,199.17543029785156,1.0,392.1366882324219,217.0973358154297,0.9999999403953552,385.4151306152344,236.72877502441406,1.0,376.9790344238281,257.75726318359375,0.9999999403953552,361.0449523925781,271.65289306640625,0.9999997615814209,342.965576171875,276.93182373046875,1.0
