scorer,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000,DLC_resnet50_joshTrainDataOct2shuffle1_1030000
bodyparts,head,head,head,AFD Soma,AFD Soma,AFD Soma,neck,neck,neck,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,vulva,vulva,vulva,bodypart6,bodypart6,bodypart6,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,266.0142517089844,255.8774871826172,0.9999998807907104,286.52459716796875,260.7432861328125,0.9999997615814209,302.8388671875,271.55792236328125,0.9999995231628418,318.4280700683594,288.33154296875,0.9999994039535522,330.760498046875,306.5051574707031,0.9999990463256836,347.9720764160156,326.3952941894531,0.9999995231628418,365.7838134765625,338.82977294921875,0.9999973773956299,390.2359924316406,337.38421630859375,0.9999998211860657
1,261.4359436035156,267.62811279296875,1.0,281.3103942871094,266.4639892578125,0.9999992847442627,299.87872314453125,270.7530822753906,0.9999994039535522,318.9391174316406,285.33929443359375,0.9999991059303284,332.155029296875,303.5837097167969,0.9999988079071045,349.5675354003906,321.4618225097656,0.9999987483024597,367.0774841308594,335.9586486816406,0.9999979734420776,388.01922607421875,342.4084777832031,1.0
2,263.2968444824219,281.22930908203125,1.0,282.12005615234375,271.55499267578125,0.9999994039535522,303.30157470703125,272.5796813964844,0.9999977350234985,323.43353271484375,284.8874206542969,0.9999989867210388,340.1253967285156,304.34490966796875,0.9999997615814209,357.5526123046875,322.5061950683594,0.9999998807907104,369.5567626953125,336.8416748046875,0.9999998807907104,386.296875,348.31683349609375,1.0
3,266.10833740234375,292.4970703125,1.0,281.62689208984375,277.9638977050781,0.9999998807907104,304.25103759765625,274.247314453125,0.9999988079071045,327.7396240234375,283.2208251953125,0.9999985098838806,345.87689208984375,304.2111511230469,0.9999955296516418,360.62689208984375,322.2991638183594,0.9999999403953552,369.78131103515625,337.5260009765625,0.9999999403953552,383.22271728515625,352.4991760253906,0.9999997615814209
4,267.64227294921875,301.1390380859375,1.0,280.67437744140625,287.8134460449219,0.9999996423721313,297.3193359375,275.6236572265625,0.9999997615814209,320.2447509765625,278.5491638183594,0.9999998807907104,338.17327880859375,290.9188537597656,1.0,354.4637145996094,311.23980712890625,0.9999998211860657,364.15704345703125,329.2221984863281,0.9999992847442627,374.2178649902344,350.714599609375,0.9999998807907104
5,268.6464538574219,305.2282409667969,1.0,283.9331359863281,292.0309143066406,0.9999998807907104,302.02099609375,277.15435791015625,0.9999995231628418,325.10113525390625,278.8037109375,0.9999996423721313,343.6614074707031,293.3432922363281,0.999999463558197,357.7676696777344,312.5647888183594,0.9999996423721313,365.4703063964844,331.62127685546875,0.9999996423721313,370.5475769042969,353.5565490722656,1.0
6,267.22216796875,306.00921630859375,1.0,283.7279968261719,296.56951904296875,0.9999997615814209,300.43450927734375,281.16192626953125,0.9999989867210388,322.21014404296875,277.4363708496094,0.9999992847442627,343.2999572753906,290.5358581542969,0.9999988079071045,358.43621826171875,311.1607666015625,0.9999998211860657,364.62884521484375,329.56805419921875,0.9999992251396179,367.6154479980469,353.516357421875,0.9999997615814209
7,261.79052734375,291.9896545410156,1.0,278.4669189453125,295.1226806640625,0.9999998807907104,296.8855285644531,287.6019592285156,0.9999996423721313,318.20086669921875,281.5687561035156,0.9999996423721313,345.04803466796875,290.536865234375,0.9999974966049194,360.3533020019531,310.8475646972656,0.9999998807907104,366.4243469238281,328.90533447265625,0.9999997615814209,369.2745666503906,350.2177429199219,1.0
8,258.84368896484375,274.5538330078125,1.0,273.7716064453125,287.1960754394531,0.9999997615814209,295.81402587890625,288.48211669921875,0.9999994039535522,318.7551574707031,287.22650146484375,0.9999967217445374,343.2866516113281,293.3596496582031,0.9999998807907104,361.3739013671875,307.7113037109375,0.9999999403953552,369.010498046875,325.60809326171875,0.9999998807907104,373.3790588378906,345.01654052734375,1.0
9,263.00445556640625,256.6146240234375,1.0,268.20355224609375,272.0521545410156,1.0,282.0356750488281,282.0849609375,0.9999997615814209,300.6842346191406,287.4998474121094,0.9999995827674866,329.56842041015625,296.8030090332031,0.9999892711639404,355.2466735839844,302.47735595703125,0.9999995827674866,368.3251953125,317.4703674316406,1.0,378.3155212402344,339.97564697265625,0.9999998211860657
10,271.49755859375,247.75125122070312,1.0,271.0439758300781,265.9309997558594,0.9999998807907104,282.7518615722656,282.5848083496094,0.9999988079071045,302.26177978515625,295.90679931640625,0.9999995827674866,325.41998291015625,302.1400451660156,0.9999996423721313,350.3085632324219,304.6599426269531,0.9999972581863403,367.939453125,314.6203918457031,0.9999998807907104,382.5412292480469,333.36627197265625,0.9999992847442627
11,280.0863037109375,243.40855407714844,1.0,276.27716064453125,265.6998291015625,0.9999997019767761,283.8822021484375,286.5174255371094,0.9999983310699463,301.9857482910156,301.382568359375,0.9999995827674866,325.0073547363281,309.5925598144531,1.0,346.970703125,309.1923828125,0.9999986886978149,365.7775573730469,314.0425720214844,0.9999991655349731,383.00634765625,324.7416687011719,0.999999463558197
12,289.4791259765625,245.85765075683594,1.0,279.7187194824219,266.4063720703125,0.9999967217445374,282.86419677734375,289.83367919921875,0.9999995827674866,297.0845031738281,305.3349304199219,0.9999995827674866,319.5029296875,314.21630859375,0.9999996423721313,341.95269775390625,312.93487548828125,1.0,360.5267333984375,312.5986328125,0.999998927116394,381.0575256347656,318.4283752441406,0.9999997019767761
13,297.237060546875,248.5922393798828,1.0,284.6871032714844,265.0068359375,0.9999998211860657,281.23846435546875,287.646484375,0.9999992847442627,292.7171325683594,306.94671630859375,0.9999997615814209,314.3134765625,317.0572509765625,0.999998927116394,336.19384765625,316.9101867675781,0.9999985694885254,353.19158935546875,313.4956970214844,0.9999998211860657,375.26171875,310.9756164550781,0.9999998807907104
14,302.9543151855469,248.13519287109375,1.0,290.20947265625,264.7126770019531,1.0,282.13714599609375,284.51116943359375,0.9999992847442627,288.8319396972656,306.623779296875,0.9999998807907104,306.54632568359375,320.0572204589844,0.9999994039535522,330.40435791015625,322.2032165527344,0.9999921917915344,350.2762145996094,314.9023132324219,0.9999991655349731,369.42218017578125,306.5658874511719,1.0
15,305.9089660644531,248.70046997070312,1.0,294.4446716308594,266.4316711425781,0.9999997019767761,284.52447509765625,285.5721130371094,0.9999995231628418,288.464111328125,308.5769958496094,0.9999998807907104,305.7003173828125,324.9497985839844,0.9999997019767761,330.3326416015625,324.6072082519531,0.9999947547912598,348.3815002441406,315.0426025390625,0.9999995827674866,365.3444519042969,301.6913146972656,0.9999997615814209
16,304.1249694824219,245.02891540527344,0.9999999403953552,298.0772399902344,264.96856689453125,0.9999988079071045,287.4856872558594,284.0890197753906,0.9999991655349731,289.1112365722656,307.7156982421875,0.9999997019767761,302.3621520996094,326.3522644042969,0.9999984502792358,325.63812255859375,330.4772033691406,0.9999992251396179,345.6961669921875,319.9462890625,0.9999966621398926,361.96917724609375,303.35931396484375,0.9999996423721313
17,295.1282043457031,233.02951049804688,1.0,296.629638671875,251.67340087890625,0.9999996423721313,293.00201416015625,275.5523376464844,0.9999995827674866,294.7060546875,299.9666442871094,0.9999996423721313,303.2102355957031,321.1246337890625,0.9999992251396179,324.5838928222656,333.5903015136719,0.9999998807907104,346.32171630859375,328.9754638671875,0.999995231628418,365.37750244140625,312.8685302734375,0.9999997019767761
18,277.7115783691406,227.50436401367188,1.0,287.1282653808594,242.12818908691406,1.0,293.278076171875,264.7123718261719,0.9999995231628418,298.0414123535156,289.4578857421875,0.9999990463256836,307.7099914550781,312.0274658203125,0.9999992847442627,327.260986328125,330.2756042480469,0.9999992847442627,348.22869873046875,333.0059814453125,0.9999974966049194,369.875732421875,321.7001953125,1.0
19,264.39898681640625,231.5672149658203,1.0,280.41448974609375,241.68643188476562,0.9999997615814209,291.8838806152344,260.05792236328125,0.9999999403953552,300.69305419921875,281.62799072265625,0.9999995231628418,312.3266296386719,305.04248046875,0.9999980926513672,327.7928466796875,324.21612548828125,0.9999998807907104,347.4114990234375,333.02490234375,0.9999982118606567,370.24371337890625,329.8460998535156,1.0
20,254.12217712402344,241.7200469970703,1.0,274.1106262207031,245.57583618164062,0.9999998807907104,289.04473876953125,257.03125,0.9999999403953552,303.00439453125,275.1863708496094,0.9999998211860657,315.3209533691406,296.881103515625,0.9999991655349731,330.1040954589844,316.76324462890625,0.9999982714653015,346.9322204589844,331.8965148925781,0.9999988079071045,370.8161926269531,335.0223693847656,0.9999999403953552
